uid  , premise                                                                                                                                                                                                                                                                                                                                                                                                                     , hypothesis                                                                                                                                                                                                                                                                                                                                                             , label, reason
12662, "The Bay of Fundy (French: ""Baie de Fundy"" ) is a bay on the Atlantic coast of North America, on the northeast end of the Gulf of Maine between the Canadian provinces of New Brunswick and Nova Scotia, with a small portion touching the U.S. state of Maine."                                                                                                                                                          , The Bay of Fundy is located on the Northeast side of the Gulf of Maine.                                                                                                                                                                                                                                                                                                ,     0, 
12663, "Freida Selena Pinto (born 18 October 1984) is an Indian actress who has appeared mainly in American and British films. She was born and raised in Mumbai, India, and decided when she was young that she would become an actress. As a student at St. Xavier's College, Mumbai, she took part in amateur plays. After graduation, she briefly worked as a model and then as a television presenter."                       , Freida Pinto worked as a model before becoming an actress.                                                                                                                                                                                                                                                                                                             ,     0, 
12664, "Gálveztown was the HMS ""West Florida"", which the Continental Navy schooner USS ""Morris"" captured at the Battle of Lake Pontchartrain, which was then in the British province of West Florida. ""West Florida"" became the Gálveztown, supposedly under the command of Bernardo de Gálvez, the Spanish governor of Louisiana (New Spain)."                                                                              , Gálveztow was constructed in 1431                                                                                                                                                                                                                                                                                                                                      ,     1, 
12665, "Freida Selena Pinto (born 18 October 1984) is an Indian actress who has appeared mainly in American and British films. She was born and raised in Mumbai, India, and decided when she was young that she would become an actress. As a student at St. Xavier's College, Mumbai, she took part in amateur plays. After graduation, she briefly worked as a model and then as a television presenter."                       , Freida Pinto worked as a TV presenter and model before acting.                                                                                                                                                                                                                                                                                                         ,     0, 
12666, "Canelo Álvarez vs. Amir Khan, billed as ""Power vs. Speed"" and also known as ""Canelo vs. Khan"" or by the portmanteau ""Khanelo"", was a professional boxing fight which took place on May 7, 2016, and was contested for the WBC, ""Ring"" magazine and lineal middleweight titles. It was the first major sporting event to be held at the T-Mobile Arena in Las Vegas."                                               , The fight took place in the month prior to June.                                                                                                                                                                                                                                                                                                                       ,     0, 
12667, "Chuck Wright is an American bassist, graphic designer and show producer, best known as a member of multi-platinum heavy metal band Quiet Riot. He originally joined Quiet Riot in 1982, playing bass on the tracks ""Metal Health (Bang Your Head)"" and ""Don't Wanna Let You Go,"" as well as singing background vocals on all the tracks from the 1983 hit album, ""Metal Health""."                                    , "The song ""Don't Wanna Let You Go"" went platinum."                                                                                                                                                                                                                                                                                                                   ,     1, 
12668, "Just in Time is a 1997 American romantic comedy-drama film directed by Shawn Levy from a screenplay by Eric Tuchman. This was the first feature film directed by Levy, who went on to direct such hits as ""Night at the Museum"" (2006) and ""Date Night"" (2010)."                                                                                                                                                       , Shawn Levy has directed at least 3 films.                                                                                                                                                                                                                                                                                                                              ,     0, 
12669, "On 12 March 2007, Frank Newbery was beaten to death inside his convenience store, Franks Ham & Beef, in the inner-city suburb of Cooks Hill in the Australian city of Newcastle. The murder remains unsolved and the New South Wales Government offers a reward of $100,000 for any information leading to an arrest and conviction."                                                                                      , Frank Newberry's killer was not convicted of murder.                                                                                                                                                                                                                                                                                                                   ,     0, 
12670, "The Best of David Bowie 1974/1979 is a compilation album by David Bowie released in 1998 (see 1998 in music). It follows ""The Best of David Bowie 1969/1974"" (1997) and includes material released between 1974–1979. This album was also included as the second disc of the compilation ""The Platinum Collection"" (2005/2006)."                                                                                       , The Best of David Bowie was only released in 1998.                                                                                                                                                                                                                                                                                                                     ,     2, 
12671, "Trumpkin is a fictional character in C. S. Lewis' fantasy novel series ""The Chronicles of Narnia"". Trumpkin is an intensely practical and skeptical dwarf who lives during the reigns of King Miraz and King Caspian X. He is a major character in ""Prince Caspian"", briefly mentioned in ""The Voyage of the Dawn Treader"", and is a minor character in ""The Silver Chair""."                                       , trumpkin lives under the king caspian reign                                                                                                                                                                                                                                                                                                                            ,     0, 
12672, "Chun Myung-hoon (born April 6, 1978) is a South Korean singer, rapper, actor and television presenter. He was a member of boy band NRG. He released his single, ""Welcome To The Jungle"" on October 19, 2012. He is well known for a cast member on several TV shows include ""Girl Spirit""."                                                                                                                            , Chun Myung-hoon does not act movies                                                                                                                                                                                                                                                                                                                                    ,     2, 
12673, "Thomas Ward ""Tom"" Darling (born May 4, 1958) is an American former competitive rower and Olympic silver medalist. A 1981 graduate of Syracuse University, he was a member of the American men's eights team that won the silver medal at the 1984 Summer Olympics in Los Angeles, California. Darling also participated in the men's coxed fours at the 1988 Summer Olympics and placed 5th overall."                    , Thomas Ward won his Olympic silver medal after he graduated from Syracuse University                                                                                                                                                                                                                                                                                   ,     0, 
12674, "Freida Selena Pinto (born 18 October 1984) is an Indian actress who has appeared mainly in American and British films. She was born and raised in Mumbai, India, and decided when she was young that she would become an actress. As a student at St. Xavier's College, Mumbai, she took part in amateur plays. After graduation, she briefly worked as a model and then as a television presenter."                       , Freida Pinto was raised in Mumbai.                                                                                                                                                                                                                                                                                                                                     ,     0, 
12675, "Canelo Álvarez vs. Amir Khan, billed as ""Power vs. Speed"" and also known as ""Canelo vs. Khan"" or by the portmanteau ""Khanelo"", was a professional boxing fight which took place on May 7, 2016, and was contested for the WBC, ""Ring"" magazine and lineal middleweight titles. It was the first major sporting event to be held at the T-Mobile Arena in Las Vegas."                                               , The fight took place the in the month after April.                                                                                                                                                                                                                                                                                                                     ,     0, 
12676, "James Michael Smith (born July 26, 1988) is an American football cornerback for the Baltimore Ravens of the National Football League (NFL). He was drafted by the Ravens with the 27th pick in the 2011 NFL Draft. He played college football at University of Colorado."                                                                                                                                                  , The University of Colorado does not have a football team.                                                                                                                                                                                                                                                                                                              ,     2, 
12677, "Editors are an English rock band, formed in 2002 in Birmingham. Previously known as Pilot, The Pride and Snowfield, the band currently consists of Tom Smith (lead vocals, guitar, piano), Russell Leetch (bass guitar, synthesizer, backing vocals), Ed Lay (drums, percussion, backing vocals), Justin Lockey (lead guitar), and Elliott Williams (keys, synthesizers, guitars, and backing vocals)."                    , Four members of the Editors can play a guitar.                                                                                                                                                                                                                                                                                                                         ,     0, 
12678, "Chuck Wright is an American bassist, graphic designer and show producer, best known as a member of multi-platinum heavy metal band Quiet Riot. He originally joined Quiet Riot in 1982, playing bass on the tracks ""Metal Health (Bang Your Head)"" and ""Don't Wanna Let You Go,"" as well as singing background vocals on all the tracks from the 1983 hit album, ""Metal Health""."                                    , Chuck Wright was one of many background singers for Quiet Riot.                                                                                                                                                                                                                                                                                                        ,     1, 
12679, "Brobdingnagian Fairy Tales is a compilation of Irish pub songs, various pop culture inspired songs and parodies, and live versions of songs from the Bards' previous albums. A romantic Italian folk song, ""Santa Lucia,"" is also included. The song ""Happily Ever After"" was inspired by the children's book, ""The Paper Bag Princess"", and ""Buttercup's Lament"" was inspired by The Princess Bride."             , Brobdingnagian Fairy Tales contains pieces of music.                                                                                                                                                                                                                                                                                                                   ,     0, 
12680, "Just in Time is a 1997 American romantic comedy-drama film directed by Shawn Levy from a screenplay by Eric Tuchman. This was the first feature film directed by Levy, who went on to direct such hits as ""Night at the Museum"" (2006) and ""Date Night"" (2010)."                                                                                                                                                       , Eric Tuchman and Shawn Levy have collaborated in the past.                                                                                                                                                                                                                                                                                                             ,     0, 
12681, Kevin Romy (born 31 January 1985) is a Swiss professional ice hockey centre who currently serves as captain of Genève-Servette HC of the National League (NL). He previously played for HC La Chaux-de-Fonds and HC Lugano. Romy was drafted by the Philadelphia Flyers in the 4th round (108th overall) in the 2003 NHL Entry Draft. Romy also represented Switzerland at the 2014 Winter Olympics.                        , Kevin is no very satisfied with Philadelphia Flyers                                                                                                                                                                                                                                                                                                                    ,     1, 
12682, """Enter Sandman"" is a song by American heavy metal band Metallica. It was released as the first single from their eponymous fifth album, ""Metallica"" in 1991. The music was written by Kirk Hammett, James Hetfield and Lars Ulrich. Vocalist and rhythm guitarist Hetfield wrote the lyrics, which deal with the concept of a child's nightmares."                                                                     , """Enter Sandman"" is Metallica's most popular song. "                                                                                                                                                                                                                                                                                                                 ,     1, 
12683, "Danielle Christine Fishel (born May 5, 1981 ) is an American actress, author, chef, television director and television personality best known for her role as Topanga Lawrence-Matthews on the 1990s teen sitcom ""Boy Meets World"", and its 2014 successor ""Girl Meets World"" on Disney Channel."                                                                                                                      , "Danielle Christine Fishel is best known as a chef who starred as Topanga Lawrence-Matthews on the 1990s teen sitcom ""Boy Meets World""."                                                                                                                                                                                                                             ,     1, 
12684, "Trumpkin is a fictional character in C. S. Lewis' fantasy novel series ""The Chronicles of Narnia"". Trumpkin is an intensely practical and skeptical dwarf who lives during the reigns of King Miraz and King Caspian X. He is a major character in ""Prince Caspian"", briefly mentioned in ""The Voyage of the Dawn Treader"", and is a minor character in ""The Silver Chair""."                                       , Trumpkin  appears in all of the chronicles of narnia books                                                                                                                                                                                                                                                                                                             ,     0, 
12685, "Encore Las Vegas (also called Encore at Wynn Las Vegas; often just called Encore) is a luxury resort, casino and hotel located on the Las Vegas Strip in Paradise, Nevada. The resort is connected to its sister resort, Wynn Las Vegas; both are owned by Wynn Resorts, headed by casino developer Steve Wynn."                                                                                                           , Encore Las Vegas has a facility where one can engage in gambling.                                                                                                                                                                                                                                                                                                      ,     0, 
12686, "Freida Selena Pinto (born 18 October 1984) is an Indian actress who has appeared mainly in American and British films. She was born and raised in Mumbai, India, and decided when she was young that she would become an actress. As a student at St. Xavier's College, Mumbai, she took part in amateur plays. After graduation, she briefly worked as a model and then as a television presenter."                       , Freida Pinto attended college in Mumbai and took part in amateur dramatics.                                                                                                                                                                                                                                                                                            ,     0, 
12687, "Chun Myung-hoon (born April 6, 1978) is a South Korean singer, rapper, actor and television presenter. He was a member of boy band NRG. He released his single, ""Welcome To The Jungle"" on October 19, 2012. He is well known for a cast member on several TV shows include ""Girl Spirit""."                                                                                                                            , Welcome To The Jungle was released in 2013                                                                                                                                                                                                                                                                                                                             ,     2, 
12688, "Brobdingnagian Fairy Tales is a compilation of Irish pub songs, various pop culture inspired songs and parodies, and live versions of songs from the Bards' previous albums. A romantic Italian folk song, ""Santa Lucia,"" is also included. The song ""Happily Ever After"" was inspired by the children's book, ""The Paper Bag Princess"", and ""Buttercup's Lament"" was inspired by The Princess Bride."             , Brobdingnagian Fairy Tales contains at least one song with origins in Italy.                                                                                                                                                                                                                                                                                           ,     0, 
12689, """Enter Sandman"" is a song by American heavy metal band Metallica. It was released as the first single from their eponymous fifth album, ""Metallica"" in 1991. The music was written by Kirk Hammett, James Hetfield and Lars Ulrich. Vocalist and rhythm guitarist Hetfield wrote the lyrics, which deal with the concept of a child's nightmares."                                                                     , """Enter Sandman"" did well on the Billboard charts."                                                                                                                                                                                                                                                                                                                  ,     1, 
12690, "On 12 March 2007, Frank Newbery was beaten to death inside his convenience store, Franks Ham & Beef, in the inner-city suburb of Cooks Hill in the Australian city of Newcastle. The murder remains unsolved and the New South Wales Government offers a reward of $100,000 for any information leading to an arrest and conviction."                                                                                      , Frank sold ham and beef at his store.                                                                                                                                                                                                                                                                                                                                  ,     0, 
12691, "Louan Gideon (November 12, 1955 – February 3, 2014) was an American actress best known for her role as antagonist Danielle Atron on Nickelodeon's ""The Secret World of Alex Mack"". She was also the last actress to play Liza Walton Sentell on the long-running soap opera ""Search for Tomorrow""."                                                                                                                    , "Danielle Atron was the main antagonist on ""The Secret World of Alex Mack."""                                                                                                                                                                                                                                                                                         ,     1, 
12692, "Peter Thomas Ward (born July 26, 1937 in Montreal, Quebec) is a retired professional baseball player who played 9 seasons for the Baltimore Orioles, Chicago White Sox, and New York Yankees of Major League Baseball. The son of former National Hockey League forward Jimmy Ward, Pete attended Jefferson High School in Portland, Oregon and played college baseball at Portland's Lewis & Clark College."              , Peter Thomas Ward's father played professional football.                                                                                                                                                                                                                                                                                                               ,     2, 
12693, "Robert Quinn (born May 18, 1990) is an American football outside linebacker for the Los Angeles Rams of the National Football League (NFL). He played college football at North Carolina, and was drafted by the Rams with the 14th pick in the first round of the 2011 NFL Draft."                                                                                                                                        , "He played college football at North Carolina, and was drafted by the Rams with the first pick in the 14th round of the 2011 NFL Draft.
                                                                                                                                                                                                                                                                                                                                                                                                                                     "                                                                                                                                                                                                                                                                                                                                                                      ,     2, 
12694, "Sean Patrick Hannity (born December 30, 1961) is an American talk show host, author, and conservative political commentator. Hannity is the host of ""The Sean Hannity Show"", a nationally syndicated talk radio show. He also hosts a cable news show, ""Hannity"", on Fox News Channel."                                                                                                                                , Sean Patrick Hannity is a woman                                                                                                                                                                                                                                                                                                                                        ,     2, 
12695, "Domestically, he has played for Khan Research Laboratories, Lahore, Lahore Eagles, Lahore Lions, Lahore Qalandars, Pakistan A and Huntly (Scotland) during his career. He was the captain of Lahore Qalandars in the first edition of the Pakistan Super League."                                                                                                                                                          , The first team he played for was the Lahore Eagles                                                                                                                                                                                                                                                                                                                     ,     1, 
12696, "Thomas Ward ""Tom"" Darling (born May 4, 1958) is an American former competitive rower and Olympic silver medalist. A 1981 graduate of Syracuse University, he was a member of the American men's eights team that won the silver medal at the 1984 Summer Olympics in Los Angeles, California. Darling also participated in the men's coxed fours at the 1988 Summer Olympics and placed 5th overall."                    , Thomas Ward Darling won a silver medal in the 1988 summer olympics                                                                                                                                                                                                                                                                                                     ,     0, 
12697, """Enter Sandman"" is a song by American heavy metal band Metallica. It was released as the first single from their eponymous fifth album, ""Metallica"" in 1991. The music was written by Kirk Hammett, James Hetfield and Lars Ulrich. Vocalist and rhythm guitarist Hetfield wrote the lyrics, which deal with the concept of a child's nightmares."                                                                     , James Hetfield had nightmares as a child.                                                                                                                                                                                                                                                                                                                              ,     1, 
12698, "Chuck Wright is an American bassist, graphic designer and show producer, best known as a member of multi-platinum heavy metal band Quiet Riot. He originally joined Quiet Riot in 1982, playing bass on the tracks ""Metal Health (Bang Your Head)"" and ""Don't Wanna Let You Go,"" as well as singing background vocals on all the tracks from the 1983 hit album, ""Metal Health""."                                    , "The song ""Don't Wanna Let You Go"" was released before ""Metal Health""."                                                                                                                                                                                                                                                                                            ,     1, 
12699, "Just in Time is a 1997 American romantic comedy-drama film directed by Shawn Levy from a screenplay by Eric Tuchman. This was the first feature film directed by Levy, who went on to direct such hits as ""Night at the Museum"" (2006) and ""Date Night"" (2010)."                                                                                                                                                       , """Night at the Museum"" shares at least one credit with a film from screenplay writer Eric Tuchman."                                                                                                                                                                                                                                                                  ,     0, 
12700, "On October 20, 1977, a Convair CV-240 chartered by the rock band Lynyrd Skynyrd from L&J Company of Addison, Texas, ran out of fuel and crashed in Gillsburg, Mississippi, near the end of its flight from Greenville, South Carolina, to Baton Rouge, Louisiana."                                                                                                                                                         , Lynyrd Skynyrd are from Jupiter.                                                                                                                                                                                                                                                                                                                                       ,     2, 
12701, "On 12 March 2007, Frank Newbery was beaten to death inside his convenience store, Franks Ham & Beef, in the inner-city suburb of Cooks Hill in the Australian city of Newcastle. The murder remains unsolved and the New South Wales Government offers a reward of $100,000 for any information leading to an arrest and conviction."                                                                                      , There is no reward for information that does not lead to arrest and conviction.                                                                                                                                                                                                                                                                                        ,     0, 
12702, "Lynyrd Skynyrd: I'll Never Forget You is a book written by former Lynyrd Skynyrd bodyguard Gene Odom. It details the childhood memories Gene shared with Lynyrd Skynyrd vocalist Ronnie Van Zant. It was followed by another book co-written with Frank Dorman, entitled """"Lynyrd Skynyrd: Remembering the Free Birds of Southern Rock""""."                                                                             , Gene Odom knew Ronnie Van Zant before he was in Lynyrd Skynyrd.                                                                                                                                                                                                                                                                                                        ,     0, 
12703, "The Carnegie Foundation (Dutch: ""Carnegie Stichting"" ) is an organization based in The Hague, Netherlands. It was founded in 1903 by Andrew Carnegie in order to manage his donation of US$1.5 million, which was used for the construction, management and maintenance of the Peace Palace. The Peace Palace was built to house the Permanent Court of Arbitration and a library of international law."                 , "It was founded years before 1903 by Andrew Carnegie in order to manage his donation of US$1.5 million, which was used for the construction, management and maintenance of the Peace Palace. "                                                                                                                                                                         ,     2, 
12704, """Enter Sandman"" is a song by American heavy metal band Metallica. It was released as the first single from their eponymous fifth album, ""Metallica"" in 1991. The music was written by Kirk Hammett, James Hetfield and Lars Ulrich. Vocalist and rhythm guitarist Hetfield wrote the lyrics, which deal with the concept of a child's nightmares."                                                                     , "James Hetfield based ""Enter Sandman"" on his own experiences. "                                                                                                                                                                                                                                                                                                      ,     1, 
12705, "James Michael Smith (born July 26, 1988) is an American football cornerback for the Baltimore Ravens of the National Football League (NFL). He was drafted by the Ravens with the 27th pick in the 2011 NFL Draft. He played college football at University of Colorado."                                                                                                                                                  , James Michael Smith has never set foot in M&T Bank Stadium.                                                                                                                                                                                                                                                                                                            ,     2, 
12706, "Peter Thomas Ward (born July 26, 1937 in Montreal, Quebec) is a retired professional baseball player who played 9 seasons for the Baltimore Orioles, Chicago White Sox, and New York Yankees of Major League Baseball. The son of former National Hockey League forward Jimmy Ward, Pete attended Jefferson High School in Portland, Oregon and played college baseball at Portland's Lewis & Clark College."              , "Peter Thomas Ward was born in Toronto, Canada."                                                                                                                                                                                                                                                                                                                       ,     2, 
12707, Blythburgh is a village and civil parish in the Suffolk Coastal district of the English county of Suffolk. It is 4 mi west of Southwold and 5 mi south-east of Halesworth and lies on the River Blyth. The A12 road runs through the village which is split either side of the road. At the 2011 census the population of the parish was 297. The parish includes the hamlets of Bulcamp and Hinton.                        , Blythburgh has a population of at least 200 people or more.                                                                                                                                                                                                                                                                                                            ,     0, 
12708, "Sean Patrick Hannity (born December 30, 1961) is an American talk show host, author, and conservative political commentator. Hannity is the host of ""The Sean Hannity Show"", a nationally syndicated talk radio show. He also hosts a cable news show, ""Hannity"", on Fox News Channel."                                                                                                                                , Sean Patrick Hannity is a reality game show host                                                                                                                                                                                                                                                                                                                       ,     2, 
12709, "The AMD K5 microprocessor is a Pentium-class 32-bit CPU manufactured by American company Advanced Micro Devices (AMD), and targeted at the consumer market. It was the first x86 processor designed by AMD from the ground up, and not licensed or reverse-engineered as previous generations of x86 processors produced by AMD."                                                                                          , The AMD K5 microprocessor is used in computers.                                                                                                                                                                                                                                                                                                                        ,     0, 
12710, "Sparta is an American rock band from El Paso, Texas, formed in 2001. Founding members Jim Ward (vocalist/guitarist) and Tony Hajjar (drummer) are also members of post-hardcore group At the Drive-In. Keeley Davis (guitarist) is the former frontman of Engine Down."                                                                                                                                                    , "Tony Hajjar was the former drummer of the band, Engine Down. "                                                                                                                                                                                                                                                                                                        ,     2, 
12711, """Enter Sandman"" is a song by American heavy metal band Metallica. It was released as the first single from their eponymous fifth album, ""Metallica"" in 1991. The music was written by Kirk Hammett, James Hetfield and Lars Ulrich. Vocalist and rhythm guitarist Hetfield wrote the lyrics, which deal with the concept of a child's nightmares."                                                                     , Metallica released more than five albums.                                                                                                                                                                                                                                                                                                                              ,     1, 
12712, "Ezhou () is a prefecture-level city in eastern Hubei Province, China. As of the 2010 census, the city had a population of 1,048,668, of which 668,727 lived in the core Echeng District. The Ezhou - Huanggang built-up (""or metro"") area was home to 1,035,496 inhabitants from the Echeng and Huangzhou, Huanggang Districts."                                                                                         , "As of the census conducted in the year 2010, the report stated that the city of Ezhou houses over 1 million people."                                                                                                                                                                                                                                                  ,     0, 
12713, "Simonstone is a small village and civil parish in the Ribble Valley district of Lancashire, England. The population of the civil parish taken at the 2011 census was 1,154. It is about 4 mi west of Burnley and south of Pendle Hill and Clitheroe along the A671 road. The village adjoins the village of Read, Lancashire and neighbours Padiham."                                                                      , "Ribble Valley is a small village in the district of Lansashire, England."                                                                                                                                                                                                                                                                                             ,     2, 
12714, "On October 20, 1977, a Convair CV-240 chartered by the rock band Lynyrd Skynyrd from L&J Company of Addison, Texas, ran out of fuel and crashed in Gillsburg, Mississippi, near the end of its flight from Greenville, South Carolina, to Baton Rouge, Louisiana."                                                                                                                                                         , The Convair CV-240 was made of glass.                                                                                                                                                                                                                                                                                                                                  ,     2, 
12715, "Make It Hot is the debut studio album by R&B singer Nicole Wray. The album was released in August 1998 through Missy Elliott's Elektra-distributed vanity label, The Goldmind. The album was produced by Missy Elliott and Timbaland. Some editions of the release credit Nicole as ""Nicole Ray"", an artist name she only used here and on her single ""I Can't See""."                                                  , "Make It Hot is a 1998 album by R&B singer Nicole Wray, best known for her hit single ""I Can't See""."                                                                                                                                                                                                                                                                ,     1, 
12716, "Ezhou () is a prefecture-level city in eastern Hubei Province, China. As of the 2010 census, the city had a population of 1,048,668, of which 668,727 lived in the core Echeng District. The Ezhou - Huanggang built-up (""or metro"") area was home to 1,035,496 inhabitants from the Echeng and Huangzhou, Huanggang Districts."                                                                                         , " As of the census conducted in the year 2010, the report stated that the city of Ezhou houses over 1.048 million people."                                                                                                                                                                                                                                             ,     0, 
12717, Blythburgh is a village and civil parish in the Suffolk Coastal district of the English county of Suffolk. It is 4 mi west of Southwold and 5 mi south-east of Halesworth and lies on the River Blyth. The A12 road runs through the village which is split either side of the road. At the 2011 census the population of the parish was 297. The parish includes the hamlets of Bulcamp and Hinton.                        , Blythburgh is in a coastal district.                                                                                                                                                                                                                                                                                                                                   ,     0, 
12718, "Sean Patrick Hannity (born December 30, 1961) is an American talk show host, author, and conservative political commentator. Hannity is the host of ""The Sean Hannity Show"", a nationally syndicated talk radio show. He also hosts a cable news show, ""Hannity"", on Fox News Channel."                                                                                                                                , Sean Patrick Hannity passed away during live broadcast of his television show.                                                                                                                                                                                                                                                                                         ,     2, 
